2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01004768 : Bolton 001A,"1,596",214,79,135,"1,382",137,"1,245",13.41 ,8.58 ,78.01 
E01004803 : Bolton 001B,"1,620",212,70,142,"1,408",128,"1,280",13.09 ,7.90 ,79.01 
E01004804 : Bolton 001C,"1,468",202,78,124,"1,266",133,"1,133",13.76 ,9.06 ,77.18 
E01004807 : Bolton 001D,"1,376",152,61,91,"1,224",94,"1,130",11.05 ,6.83 ,82.12 
E01004808 : Bolton 001E,"1,618",191,71,120,"1,427",127,"1,300",11.80 ,7.85 ,80.35 
E01004788 : Bolton 002A,"1,359",255,96,159,"1,104",103,"1,001",18.76 ,7.58 ,73.66 
E01004790 : Bolton 002B,"1,419",265,109,156,"1,154",120,"1,034",18.68 ,8.46 ,72.87 
E01004805 : Bolton 002C,"1,567",247,98,149,"1,320",133,"1,187",15.76 ,8.49 ,75.75 
E01004806 : Bolton 002D,"1,517",283,97,186,"1,234",109,"1,125",18.66 ,7.19 ,74.16 
E01004810 : Bolton 002E,"1,557",208,74,134,"1,349",134,"1,215",13.36 ,8.61 ,78.03 
E01004769 : Bolton 003A,"1,503",227,103,124,"1,276",121,"1,155",15.10 ,8.05 ,76.85 
E01004770 : Bolton 003B,"1,521",218,102,116,"1,303",96,"1,207",14.33 ,6.31 ,79.36 
E01004771 : Bolton 003C,"1,683",237,106,131,"1,446",120,"1,326",14.08 ,7.13 ,78.79 
E01004773 : Bolton 003D,"1,965",326,141,185,"1,639",146,"1,493",16.59 ,7.43 ,75.98 
E01004809 : Bolton 003E,"1,723",352,155,197,"1,371",136,"1,235",20.43 ,7.89 ,71.68 
E01004777 : Bolton 004A,"1,723",441,248,193,"1,282",103,"1,179",25.59 ,5.98 ,68.43 
E01004881 : Bolton 004B,"1,482",481,258,223,"1,001",94,907,32.46 ,6.34 ,61.20 
E01004888 : Bolton 004C,"1,281",252,115,137,"1,029",111,918,19.67 ,8.67 ,71.66 
E01004889 : Bolton 004D,"1,432",312,150,162,"1,120",82,"1,038",21.79 ,5.73 ,72.49 
E01004890 : Bolton 004E,"1,384",290,120,170,"1,094",98,996,20.95 ,7.08 ,71.97 
E01004766 : Bolton 005A,"1,658",368,178,190,"1,290",90,"1,200",22.20 ,5.43 ,72.38 
E01004767 : Bolton 005B,"1,890",360,178,182,"1,530",82,"1,448",19.05 ,4.34 ,76.61 
E01004772 : Bolton 005C,"1,846",359,176,183,"1,487",95,"1,392",19.45 ,5.15 ,75.41 
E01004774 : Bolton 005D,"1,765",364,166,198,"1,401",137,"1,264",20.62 ,7.76 ,71.61 
E01004824 : Bolton 005E,"1,882",267,135,132,"1,615",41,"1,574",14.19 ,2.18 ,83.63 
E01004784 : Bolton 006A,"1,191",216,81,135,975,104,871,18.14 ,8.73 ,73.13 
E01004785 : Bolton 006B,"1,522",327,164,163,"1,195",91,"1,104",21.48 ,5.98 ,72.54 
E01004786 : Bolton 006C,"1,450",268,126,142,"1,182",109,"1,073",18.48 ,7.52 ,74.00 
E01004789 : Bolton 006D,"1,452",240,87,153,"1,212",115,"1,097",16.53 ,7.92 ,75.55 
E01004791 : Bolton 006E,"1,323",221,94,127,"1,102",90,"1,012",16.70 ,6.80 ,76.49 
E01004792 : Bolton 006F,"1,413",225,98,127,"1,188",113,"1,075",15.92 ,8.00 ,76.08 
E01004779 : Bolton 007A,"1,636",303,133,170,"1,333",104,"1,229",18.52 ,6.36 ,75.12 
E01004781 : Bolton 007B,"2,132",294,126,168,"1,838",158,"1,680",13.79 ,7.41 ,78.80 
E01004882 : Bolton 007C,"1,350",267,121,146,"1,083",142,941,19.78 ,10.52 ,69.70 
E01004883 : Bolton 007D,"1,760",249,116,133,"1,511",143,"1,368",14.15 ,8.13 ,77.73 
