2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01004768 : Bolton 001A,"1,595",918,497,131,41,8
E01004803 : Bolton 001B,"1,620",888,553,134,29,16
E01004804 : Bolton 001C,"1,468",800,478,146,28,16
E01004807 : Bolton 001D,"1,376",788,438,117,32,1
E01004808 : Bolton 001E,"1,617",902,516,157,38,4
E01004788 : Bolton 002A,"1,361",656,460,174,58,13
E01004790 : Bolton 002B,"1,417",700,470,172,59,16
E01004805 : Bolton 002C,"1,567",850,486,170,48,13
E01004806 : Bolton 002D,"1,517",734,498,215,58,12
E01004810 : Bolton 002E,"1,557",872,474,156,48,7
E01004769 : Bolton 003A,"1,503",788,478,168,53,16
E01004770 : Bolton 003B,"1,521",803,461,191,52,14
E01004771 : Bolton 003C,"1,685",947,492,182,49,15
E01004773 : Bolton 003D,"1,965",953,684,234,75,19
E01004809 : Bolton 003E,"1,724",773,608,235,89,19
E01004777 : Bolton 004A,"1,724",762,516,258,142,46
E01004881 : Bolton 004B,"1,483",508,499,296,133,47
E01004888 : Bolton 004C,"1,284",586,421,191,65,21
E01004889 : Bolton 004D,"1,432",640,480,221,69,22
E01004890 : Bolton 004E,"1,384",604,489,215,61,15
E01004766 : Bolton 005A,"1,658",707,538,278,108,27
E01004767 : Bolton 005B,"1,887",834,682,233,107,31
E01004772 : Bolton 005C,"1,846",867,631,227,94,27
E01004774 : Bolton 005D,"1,766",761,632,258,91,24
E01004824 : Bolton 005E,"1,884",979,552,247,77,29
E01004784 : Bolton 006A,"1,196",546,435,168,36,11
E01004785 : Bolton 006B,"1,523",663,531,221,84,24
E01004786 : Bolton 006C,"1,450",658,495,202,73,22
E01004789 : Bolton 006D,"1,452",779,420,194,49,10
E01004791 : Bolton 006E,"1,320",622,446,183,53,16
E01004792 : Bolton 006F,"1,409",676,487,175,56,15
E01004779 : Bolton 007A,"1,632",783,552,193,80,24
E01004781 : Bolton 007B,"2,135","1,116",703,228,68,20
E01004882 : Bolton 007C,"1,350",592,493,181,57,27
E01004883 : Bolton 007D,"1,762",901,607,179,56,19
E01004884 : Bolton 007E,"1,476",755,522,141,45,13
E01004864 : Bolton 008A,"1,464",648,558,188,61,9
E01004867 : Bolton 008B,"1,551",796,494,165,72,24
E01004921 : Bolton 008C,"1,633",779,560,212,61,21
E01004924 : Bolton 008D,"1,575",858,510,156,38,13
E01004925 : Bolton 008E,"1,590",750,556,211,51,22
E01004778 : Bolton 009A,"1,190",511,424,188,49,18
E01004780 : Bolton 009B,"2,288","1,210",776,214,67,21
E01004782 : Bolton 009C,"1,348",641,439,195,54,19
E01004783 : Bolton 009D,"1,473",716,471,204,60,22
E01004802 : Bolton 010A,"1,973",905,611,300,123,34
E01004926 : Bolton 010B,"1,434",665,451,189,104,25
E01004927 : Bolton 010C,"2,301","1,069",704,321,168,39
E01004929 : Bolton 010D,"2,726","1,406",832,339,116,33
E01004820 : Bolton 011A,"1,790",953,482,235,87,33
E01004825 : Bolton 011B,"1,971","1,023",564,248,93,43
E01004826 : Bolton 011C,"1,666",849,527,200,66,24
E01004865 : Bolton 011D,"1,581",688,532,248,90,23
E01004866 : Bolton 011E,"2,039",927,634,289,159,30
E01004840 : Bolton 012A,"1,736",893,545,207,74,17
E01004841 : Bolton 012B,"1,750",832,481,265,128,44
E01004842 : Bolton 012C,"1,713",938,517,185,52,21
E01004919 : Bolton 012D,"1,509",750,535,171,44,9
E01004920 : Bolton 012E,"1,642",762,553,222,83,22
E01004787 : Bolton 013A,"1,708",719,549,286,119,35
E01004793 : Bolton 013B,"1,749",708,600,290,108,43
E01004794 : Bolton 013C,"2,121","1,000",625,318,138,40
