LSOA21CD,2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01004768,E01004768 : Bolton 001A,1595,918,497,131,41,8
E01004803,E01004803 : Bolton 001B,1620,888,553,134,29,16
E01004804,E01004804 : Bolton 001C,1468,800,478,146,28,16
E01004807,E01004807 : Bolton 001D,1376,788,438,117,32,1
E01004808,E01004808 : Bolton 001E,1617,902,516,157,38,4
E01004788,E01004788 : Bolton 002A,1361,656,460,174,58,13
E01004790,E01004790 : Bolton 002B,1417,700,470,172,59,16
E01004805,E01004805 : Bolton 002C,1567,850,486,170,48,13
E01004806,E01004806 : Bolton 002D,1517,734,498,215,58,12
E01004810,E01004810 : Bolton 002E,1557,872,474,156,48,7
E01004769,E01004769 : Bolton 003A,1503,788,478,168,53,16
E01004770,E01004770 : Bolton 003B,1521,803,461,191,52,14
E01004771,E01004771 : Bolton 003C,1685,947,492,182,49,15
E01004773,E01004773 : Bolton 003D,1965,953,684,234,75,19
E01004809,E01004809 : Bolton 003E,1724,773,608,235,89,19
E01004777,E01004777 : Bolton 004A,1724,762,516,258,142,46
E01004881,E01004881 : Bolton 004B,1483,508,499,296,133,47
E01004888,E01004888 : Bolton 004C,1284,586,421,191,65,21
E01004889,E01004889 : Bolton 004D,1432,640,480,221,69,22
E01004890,E01004890 : Bolton 004E,1384,604,489,215,61,15
E01004766,E01004766 : Bolton 005A,1658,707,538,278,108,27
E01004767,E01004767 : Bolton 005B,1887,834,682,233,107,31
E01004772,E01004772 : Bolton 005C,1846,867,631,227,94,27
E01004774,E01004774 : Bolton 005D,1766,761,632,258,91,24
E01004824,E01004824 : Bolton 005E,1884,979,552,247,77,29
E01004784,E01004784 : Bolton 006A,1196,546,435,168,36,11
E01004785,E01004785 : Bolton 006B,1523,663,531,221,84,24
E01004786,E01004786 : Bolton 006C,1450,658,495,202,73,22
E01004789,E01004789 : Bolton 006D,1452,779,420,194,49,10
E01004791,E01004791 : Bolton 006E,1320,622,446,183,53,16
E01004792,E01004792 : Bolton 006F,1409,676,487,175,56,15
E01004779,E01004779 : Bolton 007A,1632,783,552,193,80,24
E01004781,E01004781 : Bolton 007B,2135,1116,703,228,68,20
E01004882,E01004882 : Bolton 007C,1350,592,493,181,57,27
E01004883,E01004883 : Bolton 007D,1762,901,607,179,56,19
E01004884,E01004884 : Bolton 007E,1476,755,522,141,45,13
E01004864,E01004864 : Bolton 008A,1464,648,558,188,61,9
E01004867,E01004867 : Bolton 008B,1551,796,494,165,72,24
E01004921,E01004921 : Bolton 008C,1633,779,560,212,61,21
E01004924,E01004924 : Bolton 008D,1575,858,510,156,38,13
E01004925,E01004925 : Bolton 008E,1590,750,556,211,51,22
E01004778,E01004778 : Bolton 009A,1190,511,424,188,49,18
E01004780,E01004780 : Bolton 009B,2288,1210,776,214,67,21
E01004782,E01004782 : Bolton 009C,1348,641,439,195,54,19
E01004783,E01004783 : Bolton 009D,1473,716,471,204,60,22
E01004802,E01004802 : Bolton 010A,1973,905,611,300,123,34
E01004926,E01004926 : Bolton 010B,1434,665,451,189,104,25
E01004927,E01004927 : Bolton 010C,2301,1069,704,321,168,39
E01004929,E01004929 : Bolton 010D,2726,1406,832,339,116,33
E01004820,E01004820 : Bolton 011A,1790,953,482,235,87,33
E01004825,E01004825 : Bolton 011B,1971,1023,564,248,93,43
E01004826,E01004826 : Bolton 011C,1666,849,527,200,66,24
E01004865,E01004865 : Bolton 011D,1581,688,532,248,90,23
E01004866,E01004866 : Bolton 011E,2039,927,634,289,159,30
E01004840,E01004840 : Bolton 012A,1736,893,545,207,74,17
E01004841,E01004841 : Bolton 012B,1750,832,481,265,128,44
E01004842,E01004842 : Bolton 012C,1713,938,517,185,52,21
E01004919,E01004919 : Bolton 012D,1509,750,535,171,44,9
E01004920,E01004920 : Bolton 012E,1642,762,553,222,83,22
E01004787,E01004787 : Bolton 013A,1708,719,549,286,119,35
E01004793,E01004793 : Bolton 013B,1749,708,600,290,108,43
E01004794,E01004794 : Bolton 013C,2121,1000,625,318,138,40
E01004795,E01004795 : Bolton 013D,1504,578,506,265,105,50
E01004797,E01004797 : Bolton 013E,1492,667,546,180,80,19
E01004775,E01004775 : Bolton 014A,2324,1271,706,209,66,72
E01004885,E01004885 : Bolton 014B,1424,820,431,127,35,11
E01004886,E01004886 : Bolton 014C,1397,577,446,261,91,22
E01004887,E01004887 : Bolton 014D,1330,546,487,187,87,23
E01004868,E01004868 : Bolton 015A,2163,1025,729,301,80,28
E01004869,E01004869 : Bolton 015B,2190,1149,578,321,109,33
E01004870,E01004870 : Bolton 015C,2015,917,659,287,133,19
E01004871,E01004871 : Bolton 015D,1814,946,542,216,93,17
E01004922,E01004922 : Bolton 015E,2254,1115,767,259,86,27
E01004822,E01004822 : Bolton 016B,1851,900,557,243,104,47
E01004823,E01004823 : Bolton 016C,2047,880,614,324,182,47
E01004848,E01004848 : Bolton 016D,2090,845,664,338,142,101
E01033217,E01033217 : Bolton 016E,1228,528,382,219,70,29
E01033220,E01033220 : Bolton 016F,1315,555,411,227,93,29
E01004818,E01004818 : Bolton 017A,1722,768,550,274,98,32
E01004819,E01004819 : Bolton 017B,1517,689,487,212,98,31
E01004928,E01004928 : Bolton 017C,1377,584,476,218,79,20
E01004930,E01004930 : Bolton 017D,1514,688,561,207,47,11
E01004931,E01004931 : Bolton 017E,1564,608,525,297,107,27
E01004932,E01004932 : Bolton 017F,1484,633,518,220,92,21
E01004834,E01004834 : Bolton 018A,1745,893,580,201,50,21
E01004838,E01004838 : Bolton 018B,2008,944,640,258,118,48
E01004843,E01004843 : Bolton 018C,1558,879,466,167,40,6
E01004845,E01004845 : Bolton 018D,1871,1054,548,190,49,30
E01004923,E01004923 : Bolton 018E,1675,833,559,216,54,13
E01004796,E01004796 : Bolton 019A,1576,686,570,233,64,23
E01004798,E01004798 : Bolton 019B,1613,713,548,252,72,28
E01004799,E01004799 : Bolton 019C,1272,535,452,205,67,13
E01004800,E01004800 : Bolton 019D,1294,580,485,178,43,8
E01004801,E01004801 : Bolton 019E,1674,737,519,259,132,27
E01004917,E01004917 : Bolton 019F,2298,1131,762,257,119,29
E01004835,E01004835 : Bolton 020A,1461,721,491,189,48,12
E01004836,E01004836 : Bolton 020B,1746,888,516,254,77,11
E01004837,E01004837 : Bolton 020C,1562,851,488,162,45,16
E01004844,E01004844 : Bolton 020D,1572,924,487,110,38,13
E01004897,E01004897 : Bolton 020E,1013,504,364,111,28,6
E01004827,E01004827 : Bolton 021A,1990,1025,584,237,113,31
E01004849,E01004849 : Bolton 021B,1794,965,530,197,80,22
E01004850,E01004850 : Bolton 021C,2291,1180,711,271,98,31
E01004851,E01004851 : Bolton 021D,1690,801,492,251,106,40
E01004853,E01004853 : Bolton 021E,1575,752,496,207,86,34
E01004811,E01004811 : Bolton 022A,1847,796,641,265,96,49
E01004812,E01004812 : Bolton 022B,2402,1199,808,276,92,27
E01004813,E01004813 : Bolton 022C,1748,815,597,213,97,26
E01004815,E01004815 : Bolton 022D,1786,868,605,218,74,21
E01004817,E01004817 : Bolton 022E,2063,952,685,312,85,29
E01004828,E01004828 : Bolton 023A,2017,1118,561,216,90,32
E01004829,E01004829 : Bolton 023B,1458,665,523,190,63,17
E01004832,E01004832 : Bolton 023C,1640,811,563,195,60,11
E01004854,E01004854 : Bolton 023D,1658,814,527,221,77,19
E01004878,E01004878 : Bolton 023E,1697,868,555,188,70,16
E01004911,E01004911 : Bolton 024A,1539,611,556,260,92,20
E01004912,E01004912 : Bolton 024B,1435,579,523,226,85,22
E01004913,E01004913 : Bolton 024C,1955,899,707,252,85,12
E01004914,E01004914 : Bolton 024D,1170,493,420,194,49,14
E01004915,E01004915 : Bolton 024E,1274,534,487,189,51,13
E01004916,E01004916 : Bolton 024F,1464,597,500,238,98,31
E01004918,E01004918 : Bolton 024G,1225,556,424,180,47,18
E01004846,E01004846 : Bolton 025A,1410,700,446,175,71,18
E01004847,E01004847 : Bolton 025B,2282,1201,657,248,142,34
E01004852,E01004852 : Bolton 025C,1732,927,548,174,60,23
E01004877,E01004877 : Bolton 025D,2073,1043,610,257,125,38
E01004879,E01004879 : Bolton 025E,1657,823,535,190,84,25
E01004830,E01004830 : Bolton 026A,1754,820,516,260,119,39
E01004831,E01004831 : Bolton 026B,1826,975,564,209,60,18
E01004833,E01004833 : Bolton 026C,1529,707,525,213,64,20
E01004839,E01004839 : Bolton 026D,2370,1072,763,360,133,42
E01004814,E01004814 : Bolton 027A,1604,808,497,211,64,24
E01004855,E01004855 : Bolton 027B,1481,714,498,177,72,20
E01004856,E01004856 : Bolton 027C,1537,721,481,207,106,22
E01004857,E01004857 : Bolton 027D,1902,941,626,223,85,27
E01004891,E01004891 : Bolton 028A,1539,681,534,233,72,19
E01004893,E01004893 : Bolton 028B,1526,760,530,172,43,21
E01004894,E01004894 : Bolton 028C,1924,932,657,234,80,21
E01004901,E01004901 : Bolton 028E,1764,945,568,176,57,18
E01033218,E01033218 : Bolton 028F,1573,928,463,126,40,16
E01033219,E01033219 : Bolton 028G,1421,782,452,141,35,11
E01004816,E01004816 : Bolton 029A,2939,1467,1073,275,89,35
E01004872,E01004872 : Bolton 029B,1697,794,556,225,97,25
E01004873,E01004873 : Bolton 029C,2021,1040,618,249,92,22
E01004875,E01004875 : Bolton 029D,1667,792,570,207,71,27
E01004880,E01004880 : Bolton 029E,1476,763,470,190,46,7
E01004892,E01004892 : Bolton 030A,1581,781,518,201,63,18
E01004896,E01004896 : Bolton 030B,1314,613,435,181,57,28
E01004899,E01004899 : Bolton 030C,1596,750,538,216,77,15
E01004900,E01004900 : Bolton 030D,1612,880,494,166,53,19
