LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01004768,E01004768 : Bolton 001A,2.5036,2.7056,1.6019,2.6247
E01004803,E01004803 : Bolton 001B,4.0724,3.3549,3.3549,3.3549
E01004804,E01004804 : Bolton 001C,3.6604,2.9429,2.9429,2.9429
E01004807,E01004807 : Bolton 001D,1.7098,0.9924,0.9924,0.9924
E01004808,E01004808 : Bolton 001E,2.0175,1.5718,1.5718,1.5718
E01004788,E01004788 : Bolton 002A,1.5812,2.5798,2.5798,1.8634
E01004790,E01004790 : Bolton 002B,1.5896,1.9913,1.7199,1.533
E01004805,E01004805 : Bolton 002C,2.5292,2.1195,2.1195,2.1195
E01004806,E01004806 : Bolton 002D,1.802,2.6684,1.563,2.6684
E01004810,E01004810 : Bolton 002E,2.0384,3.037,2.1979,2.5757
E01004769,E01004769 : Bolton 003A,1.387,1.2602,1.387,2.0383
E01004770,E01004770 : Bolton 003B,1.6634,2.2897,1.6634,1.6866
E01004771,E01004771 : Bolton 003C,1.4254,1.2433,1.4254,2.2397
E01004773,E01004773 : Bolton 003D,0.9557,1.6223,0.9223,0.9718
E01004809,E01004809 : Bolton 003E,0.9418,0.9521,0.7206,0.9521
E01004777,E01004777 : Bolton 004A,1.1611,1.1696,1.6461,1.0415
E01004881,E01004881 : Bolton 004B,0.8574,0.803,0.7423,0.6749
E01004888,E01004888 : Bolton 004C,1.9382,1.7517,1.7354,1.6527
E01004889,E01004889 : Bolton 004D,1.5116,1.2909,1.1865,1.2104
E01004890,E01004890 : Bolton 004E,0.7705,0.8746,1.0584,0.8013
E01004766,E01004766 : Bolton 005A,1.4528,2.2015,1.4477,0.7577
E01004767,E01004767 : Bolton 005B,1.5927,2.2414,1.5927,0.8877
E01004772,E01004772 : Bolton 005C,2.2377,2.5661,1.3369,2.0959
E01004774,E01004774 : Bolton 005D,1.3863,2.1158,0.9109,0.9318
E01004824,E01004824 : Bolton 005E,0.8823,1.6724,0.764,1.0274
E01004784,E01004784 : Bolton 006A,2.7101,2.1913,1.9119,2.1131
E01004785,E01004785 : Bolton 006B,3.0353,2.5347,1.6376,1.7252
