LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004768,E01004768 : Bolton 001A,2.67,38.82,66.29,5.05,6.37,5.71,10.52,1.70,11.29,0.52
E01004803,E01004803 : Bolton 001B,2.58,43.54,41.42,28.03,17.18,7.55,8.99,1.48,10.61,0.49
E01004804,E01004804 : Bolton 001C,5.20,45.78,62.07,10.02,7.38,8.21,9.86,1.59,11.07,0.51
E01004807,E01004807 : Bolton 001D,5.15,40.34,32.47,26.42,16.06,7.43,11.53,1.79,11.72,0.39
E01004808,E01004808 : Bolton 001E,3.88,43.25,43.48,15.51,10.68,6.52,10.33,1.66,11.27,0.49
E01004788,E01004788 : Bolton 002A,4.43,39.10,39.02,8.69,7.57,11.35,11.95,1.78,11.75,0.47
E01004790,E01004790 : Bolton 002B,4.98,37.17,20.78,46.82,26.40,16.56,13.12,1.95,12.47,0.43
E01004805,E01004805 : Bolton 002C,3.31,41.24,59.38,15.92,10.58,9.54,11.51,1.75,11.42,0.53
E01004806,E01004806 : Bolton 002D,3.56,37.65,34.64,15.28,12.73,14.22,12.12,1.84,12.21,0.46
E01004810,E01004810 : Bolton 002E,2.97,39.50,44.50,19.34,12.11,8.82,13.08,1.96,12.43,0.43
E01004769,E01004769 : Bolton 003A,3.61,36.64,23.72,27.38,12.41,10.75,12.44,1.91,12.19,0.43
E01004770,E01004770 : Bolton 003B,4.37,29.26,23.08,15.38,11.29,11.46,13.29,2.01,12.35,0.39
E01004771,E01004771 : Bolton 003C,3.41,39.40,25.92,2.56,9.74,9.15,12.44,1.91,12.00,0.44
E01004773,E01004773 : Bolton 003D,3.75,30.41,4.32,35.01,28.67,19.32,13.01,1.98,12.22,0.31
E01004809,E01004809 : Bolton 003E,3.13,29.06,5.06,46.95,39.47,23.10,12.44,1.91,12.27,0.46
E01004777,E01004777 : Bolton 004A,4.06,28.82,12.77,59.29,46.21,25.32,12.08,2.17,12.40,0.31
E01004881,E01004881 : Bolton 004B,5.10,20.33,2.30,59.97,52.75,39.95,12.58,2.15,12.22,0.24
E01004888,E01004888 : Bolton 004C,5.96,32.58,30.02,15.01,33.74,22.24,11.86,2.03,12.27,0.52
E01004889,E01004889 : Bolton 004D,5.69,24.58,9.15,27.13,38.52,22.75,12.01,2.11,12.29,0.47
E01004890,E01004890 : Bolton 004E,7.05,31.27,2.49,51.54,30.79,23.87,11.78,2.17,12.37,0.27
E01004766,E01004766 : Bolton 005A,7.46,26.03,6.57,48.82,44.60,34.53,12.64,1.95,11.95,0.33
E01004767,E01004767 : Bolton 005B,4.47,27.51,8.08,27.63,43.96,26.95,14.14,2.11,12.35,0.36
E01004772,E01004772 : Bolton 005C,6.61,24.15,25.67,20.59,58.56,30.35,11.57,1.83,11.95,0.52
E01004774,E01004774 : Bolton 005D,5.59,24.63,12.20,57.99,40.19,29.59,12.21,1.90,11.95,0.35
E01004824,E01004824 : Bolton 005E,8.51,21.45,6.85,78.63,33.40,21.82,15.29,2.27,12.67,0.20
E01004784,E01004784 : Bolton 006A,4.42,34.72,50.30,2.17,6.32,9.72,13.35,1.98,12.43,0.43
E01004785,E01004785 : Bolton 006B,5.04,25.53,23.11,22.19,24.00,17.26,13.45,2.00,12.47,0.50
E01004786,E01004786 : Bolton 006C,3.28,31.82,31.78,17.35,19.04,16.47,14.33,2.08,12.50,0.43
E01004789,E01004789 : Bolton 006D,1.93,39.28,27.91,13.14,9.21,7.73,11.16,1.70,11.20,0.57
E01004791,E01004791 : Bolton 006E,2.95,35.85,20.15,29.62,18.17,17.74,12.08,1.81,12.11,0.42
E01004792,E01004792 : Bolton 006F,3.65,36.45,47.97,4.69,6.56,10.16,13.14,2.00,12.14,0.48
E01004779,E01004779 : Bolton 007A,3.74,28.39,33.76,23.31,31.03,12.86,10.64,2.16,12.00,0.46
E01004781,E01004781 : Bolton 007B,2.93,36.78,28.23,40.61,29.49,16.04,11.77,2.12,12.60,0.29
E01004882,E01004882 : Bolton 007C,4.39,32.11,15.73,52.01,28.75,21.60,12.33,2.20,12.73,0.32
E01004883,E01004883 : Bolton 007D,4.63,33.91,17.38,44.33,31.02,18.74,12.30,2.07,12.60,0.35
E01004884,E01004884 : Bolton 007E,3.49,45.13,52.59,19.54,11.64,8.62,10.31,1.87,11.89,0.57
E01004864,E01004864 : Bolton 008A,6.92,25.14,8.80,58.06,30.94,22.91,12.14,2.00,12.22,0.36
E01004867,E01004867 : Bolton 008B,12.13,20.65,4.41,80.85,38.64,29.39,13.15,2.20,12.49,0.24
E01004921,E01004921 : Bolton 008C,5.32,27.97,3.22,45.31,22.24,22.63,12.61,2.04,12.15,0.31
E01004924,E01004924 : Bolton 008D,3.44,45.28,30.18,9.47,7.73,7.37,10.31,1.79,11.63,0.59
E01004925,E01004925 : Bolton 008E,3.84,30.21,3.93,31.60,18.37,18.05,11.87,1.91,12.04,0.32
E01004778,E01004778 : Bolton 009A,4.69,27.72,7.58,16.82,17.74,14.79,9.39,1.93,11.78,0.38
E01004780,E01004780 : Bolton 009B,2.77,35.53,37.22,28.22,22.39,10.33,9.86,2.08,11.86,0.48
E01004782,E01004782 : Bolton 009C,4.28,27.14,23.59,28.21,35.68,19.18,9.47,1.97,11.83,0.39
E01004783,E01004783 : Bolton 009D,5.03,31.76,22.80,19.76,15.78,13.85,9.60,2.08,12.23,0.45
E01004802,E01004802 : Bolton 010A,9.47,20.69,3.30,26.52,73.48,39.05,15.01,2.18,12.86,0.49
E01004926,E01004926 : Bolton 010B,10.68,15.92,1.72,22.99,64.49,34.93,17.14,2.38,12.93,0.43
E01004927,E01004927 : Bolton 010C,8.12,24.31,5.79,48.81,68.41,42.38,15.72,2.28,12.77,0.40
E01004929,E01004929 : Bolton 010D,4.77,29.62,17.98,28.53,45.50,28.61,16.08,2.28,12.90,0.41
