LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004768,E01004768 : Bolton 001A,2.67,38.82,66.29,5.05,6.37,98.05510535,10.52,1.7,11.29,0.52
E01004803,E01004803 : Bolton 001B,2.58,43.54,41.42,28.03,17.18,98.04469274,8.99,1.48,10.61,0.49
E01004804,E01004804 : Bolton 001C,5.2,45.78,62.07,10.02,7.38,97.87234043,9.86,1.59,11.07,0.51
E01004807,E01004807 : Bolton 001D,5.15,40.34,32.47,26.42,16.06,97.40484429,11.53,1.79,11.72,0.39
E01004808,E01004808 : Bolton 001E,3.88,43.25,43.48,15.51,10.68,98.98403483,10.33,1.66,11.27,0.49
E01004788,E01004788 : Bolton 002A,4.43,39.1,39.02,8.69,7.57,98.84868421,11.95,1.78,11.75,0.47
E01004790,E01004790 : Bolton 002B,4.98,37.17,20.78,46.82,26.4,97.52321981,13.12,1.95,12.47,0.43
E01004805,E01004805 : Bolton 002C,3.31,41.24,59.38,15.92,10.58,97.77117385,11.51,1.75,11.42,0.53
E01004806,E01004806 : Bolton 002D,3.56,37.65,34.64,15.28,12.73,96.6616085,12.12,1.84,12.21,0.46
E01004810,E01004810 : Bolton 002E,2.97,39.5,44.5,19.34,12.11,97.79874214,13.08,1.96,12.43,0.43
E01004769,E01004769 : Bolton 003A,3.61,36.64,23.72,27.38,12.41,95.61403509,12.44,1.91,12.19,0.43
E01004770,E01004770 : Bolton 003B,4.37,29.26,23.08,15.38,11.29,94.11764706,13.29,2.01,12.35,0.39
E01004771,E01004771 : Bolton 003C,3.41,39.4,25.92,2.56,9.74,97.12460064,12.44,1.91,12,0.44
E01004773,E01004773 : Bolton 003D,3.75,30.41,4.32,35.01,28.67,94.76744186,13.01,1.98,12.22,0.31
E01004809,E01004809 : Bolton 003E,3.13,29.06,5.06,46.95,39.47,94.70655926,12.44,1.91,12.27,0.46
E01004777,E01004777 : Bolton 004A,4.06,28.82,12.77,59.29,46.21,94.94310999,12.08,2.17,12.4,0.31
E01004881,E01004881 : Bolton 004B,5.1,20.33,2.3,59.97,52.75,95.39052497,12.58,2.15,12.22,0.24
E01004888,E01004888 : Bolton 004C,5.96,32.58,30.02,15.01,33.74,96.33507853,11.86,2.03,12.27,0.52
E01004889,E01004889 : Bolton 004D,5.69,24.58,9.15,27.13,38.52,95.7480315,12.01,2.11,12.29,0.47
E01004890,E01004890 : Bolton 004E,7.05,31.27,2.49,51.54,30.79,98.24046921,11.78,2.17,12.37,0.27
E01004766,E01004766 : Bolton 005A,7.46,26.03,6.57,48.82,44.6,94.28571429,12.64,1.95,11.95,0.33
E01004767,E01004767 : Bolton 005B,4.47,27.51,8.08,27.63,43.96,95.21586931,14.14,2.11,12.35,0.36
E01004772,E01004772 : Bolton 005C,6.61,24.15,25.67,20.59,58.56,94.89932886,11.57,1.83,11.95,0.52
